Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0734	25000	125000
2	Spectrogram 1	1	0.0862	0.1886	25000	125000
3	Spectrogram 1	1	0.1971	0.2953	25000	125000
4	Spectrogram 1	1	0.3209	0.3934	25000	125000
5	Spectrogram 1	1	0.4147	0.6409	25000	125000
6	Spectrogram 1	1	0.6665	0.8499	25000	125000
7	Spectrogram 1	1	0.8713	1.0163	25000	125000
8	Spectrogram 1	1	1.0334	1.123	25000	125000
9	Spectrogram 1	1	1.1401	1.2126	25000	125000
10	Spectrogram 1	1	1.2339	1.4729	25000	125000
11	Spectrogram 1	1	1.4857	1.6563	25000	125000
12	Spectrogram 1	1	1.6819	1.8526	25000	125000
13	Spectrogram 1	1	1.8782	1.9763	25000	125000
