Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.4659	0.5171	25000	125000
2	Spectrogram 1	1	0.6366	0.6921	25000	125000
3	Spectrogram 1	1	0.7134	0.7689	25000	125000
4	Spectrogram 1	1	0.7987	0.8499	25000	125000
5	Spectrogram 1	1	0.9011	0.9566	25000	125000
6	Spectrogram 1	1	1.0035	1.0803	25000	125000
7	Spectrogram 1	1	1.1017	1.2382	25000	125000
8	Spectrogram 1	1	1.2553	1.5497	25000	125000
9	Spectrogram 1	1	1.5667	1.7929	25000	125000
10	Spectrogram 1	1	1.8014	1.9763	25000	125000
