Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1033	25000	125000
2	Spectrogram 1	1	0.1502	0.2953	25000	125000
3	Spectrogram 1	1	0.355	0.5299	25000	125000
4	Spectrogram 1	1	0.5726	0.6921	25000	125000
5	Spectrogram 1	1	0.7433	0.9182	25000	125000
6	Spectrogram 1	1	0.9609	1.1315	25000	125000
7	Spectrogram 1	1	1.1785	1.2851	25000	125000
8	Spectrogram 1	1	1.3107	1.3747	25000	125000
9	Spectrogram 1	1	1.4259	1.5625	25000	125000
10	Spectrogram 1	1	1.6777	1.7673	25000	125000
11	Spectrogram 1	1	1.827	1.8867	25000	125000
12	Spectrogram 1	1	1.9166	1.9763	25000	125000
