Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1459	25000	125000
2	Spectrogram 1	1	0.1758	0.2697	25000	125000
3	Spectrogram 1	1	0.3123	0.419	25000	125000
4	Spectrogram 1	1	0.4745	0.5171	25000	125000
5	Spectrogram 1	1	0.6067	0.6921	25000	125000
6	Spectrogram 1	1	0.7347	0.8499	25000	125000
7	Spectrogram 1	1	0.8883	0.9865	25000	125000
8	Spectrogram 1	1	1.0249	1.1273	25000	125000
9	Spectrogram 1	1	1.1486	1.2041	25000	125000
10	Spectrogram 1	1	1.251	1.315	25000	125000
11	Spectrogram 1	1	1.3619	1.4558	25000	125000
12	Spectrogram 1	1	1.4942	1.5625	25000	125000
13	Spectrogram 1	1	1.5753	1.6649	25000	125000
14	Spectrogram 1	1	1.6819	1.7971	25000	125000
15	Spectrogram 1	1	1.8483	1.9593	25000	125000
