Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0819	25000	125000
2	Spectrogram 1	1	0.1033	0.2313	25000	125000
3	Spectrogram 1	1	0.2441	0.3465	25000	125000
4	Spectrogram 1	1	0.4105	0.6963	25000	125000
5	Spectrogram 1	1	0.7262	0.8798	25000	125000
6	Spectrogram 1	1	0.9011	1.0633	25000	125000
7	Spectrogram 1	1	1.0974	1.1913	25000	125000
8	Spectrogram 1	1	1.2339	1.3321	25000	125000
9	Spectrogram 1	1	1.3619	1.507	25000	125000
10	Spectrogram 1	1	1.5326	1.6307	25000	125000
11	Spectrogram 1	1	1.6435	1.8142	25000	125000
12	Spectrogram 1	1	1.8398	1.9678	25000	125000
