Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0265	0.0819	25000	125000
2	Spectrogram 1	1	0.1203	0.1673	25000	125000
3	Spectrogram 1	1	0.2142	0.2569	25000	125000
4	Spectrogram 1	1	0.3081	0.355	25000	125000
5	Spectrogram 1	1	0.4105	0.4489	25000	125000
6	Spectrogram 1	1	0.7305	0.7859	25000	125000
7	Spectrogram 1	1	0.8585	0.9139	25000	125000
8	Spectrogram 1	1	0.9737	1.123	25000	125000
9	Spectrogram 1	1	1.1529	1.2681	25000	125000
10	Spectrogram 1	1	1.3022	1.4302	25000	125000
11	Spectrogram 1	1	1.4686	1.5881	25000	125000
12	Spectrogram 1	1	1.6137	1.6563	25000	125000
13	Spectrogram 1	1	1.6905	1.7502	25000	125000
14	Spectrogram 1	1	1.7843	1.8739	25000	125000
