wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_22-20-59_0003410,0,1.037531,1.080193,42.66,0.069148,0.054232,,2026-02-15T22:35:28.726662
2024-09-30_22-20-59_0003410,1,1.152853,1.191253,38.40,0.076773,0.057534,,2026-02-15T22:35:29.135662
2024-09-30_22-20-59_0003410,2,1.276587,1.354507,77.92,0.071030,0.045811,,2026-02-15T22:35:29.534163
2024-09-30_22-20-59_0003410,3,1.364319,1.400320,36.00,0.066737,0.051110,,2026-02-15T22:35:29.931661
2024-09-30_22-20-59_0003410,4,1.460308,1.487185,26.88,0.000000,0.000000,added_manually,2026-02-15T22:35:30.301662
2024-09-30_22-20-59_0003410,5,1.545205,1.592559,47.35,0.000000,0.000000,added_manually,2026-02-15T22:35:30.689662
2024-09-30_22-20-59_0003410,6,1.978647,2.013629,34.98,0.000000,0.000000,added_manually,2026-02-15T22:35:31.062712
2024-09-30_22-20-59_0003410,7,2.166358,2.232320,65.96,0.091590,0.066066,,2026-02-15T22:35:31.434711
2024-09-30_22-20-59_0003410,8,2.274987,2.398720,123.73,0.177924,0.112025,,2026-02-15T22:35:31.831276
2024-09-30_22-20-59_0003410,9,2.477788,2.522583,44.79,0.053977,0.047147,,2026-02-15T22:35:32.214357
2024-09-30_22-20-59_0003410,10,3.313956,3.356191,42.24,0.000000,0.000000,added_manually,2026-02-15T22:35:32.606856
