candidate_id,spectrogram_path,label,source_file
2024-09-30_11-18-17_0000001_00000788,spectrograms_training\train\2024-09-30_11-18-17_0000001_00000788.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00000932,spectrograms_training\train\2024-09-30_11-18-17_0000001_00000932.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001014,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001014.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001076,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001076.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001204,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001204.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001332,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001332.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001460,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001460.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001588,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001588.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001716,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001716.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001844,spectrograms_training\train\2024-09-30_11-18-17_0000001_00001844.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002042,spectrograms_training\train\2024-09-30_11-18-17_0000001_00002042.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002458,spectrograms_training\train\2024-09-30_11-18-17_0000001_00002458.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002571,spectrograms_training\train\2024-09-30_11-18-17_0000001_00002571.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002766,spectrograms_training\train\2024-09-30_11-18-17_0000001_00002766.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002828,spectrograms_training\train\2024-09-30_11-18-17_0000001_00002828.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002973,spectrograms_training\train\2024-09-30_11-18-17_0000001_00002973.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003075,spectrograms_training\train\2024-09-30_11-18-17_0000001_00003075.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003106,spectrograms_training\train\2024-09-30_11-18-17_0000001_00003106.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003200,spectrograms_training\train\2024-09-30_11-18-17_0000001_00003200.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003440,spectrograms_training\train\2024-09-30_11-18-17_0000001_00003440.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003548,spectrograms_training\train\2024-09-30_11-18-17_0000001_00003548.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003662,spectrograms_training\train\2024-09-30_11-18-17_0000001_00003662.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003799,spectrograms_training\train\2024-09-30_11-18-17_0000001_00003799.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00004192,spectrograms_training\train\2024-09-30_11-18-17_0000001_00004192.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00004305,spectrograms_training\train\2024-09-30_11-18-17_0000001_00004305.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00004535,spectrograms_training\train\2024-09-30_11-18-17_0000001_00004535.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00004648,spectrograms_training\train\2024-09-30_11-18-17_0000001_00004648.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00004777,spectrograms_training\train\2024-09-30_11-18-17_0000001_00004777.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00004893,spectrograms_training\train\2024-09-30_11-18-17_0000001_00004893.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00005004,spectrograms_training\train\2024-09-30_11-18-17_0000001_00005004.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00005119,spectrograms_training\train\2024-09-30_11-18-17_0000001_00005119.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00005332,spectrograms_training\train\2024-09-30_11-18-17_0000001_00005332.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00005439,spectrograms_training\train\2024-09-30_11-18-17_0000001_00005439.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00005662,spectrograms_training\train\2024-09-30_11-18-17_0000001_00005662.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00005792,spectrograms_training\train\2024-09-30_11-18-17_0000001_00005792.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00006688,spectrograms_training\train\2024-09-30_11-18-17_0000001_00006688.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00006868,spectrograms_training\train\2024-09-30_11-18-17_0000001_00006868.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00007117,spectrograms_training\train\2024-09-30_11-18-17_0000001_00007117.png,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-25_0000002_00001038,spectrograms_training\train\2024-09-30_11-18-25_0000002_00001038.png,Not USV,2024-09-30_11-18-25_0000002.wav
2024-09-30_11-18-25_0000002_00001103,spectrograms_training\train\2024-09-30_11-18-25_0000002_00001103.png,Not USV,2024-09-30_11-18-25_0000002.wav
