label,Short,Flat,Up,Down,Chevron,Complex,Frequency_Jump
Cluster_1,58,33,14,2,0,9,1
Cluster_2,0,0,0,1,2,0,0
Cluster_3,0,0,0,0,1,0,0
Cluster_4,0,1,1,4,5,2,0
Cluster_5,0,0,0,0,2,0,0
Cluster_6,1,0,0,0,0,0,0
Cluster_7,0,0,0,0,1,1,0
Cluster_8,1,0,0,0,0,0,0
Cluster_9,4,1,0,0,4,0,1
Cluster_10,65,22,25,2,11,0,1
Cluster_11,0,1,0,0,0,0,0
Cluster_12,3,0,1,0,3,1,0
Cluster_13,2,0,9,0,3,0,0
Cluster_14,1,0,0,0,1,0,0
Cluster_15,0,0,0,0,0,1,0
Cluster_16,0,1,0,0,0,0,0
Cluster_17,0,0,0,0,0,1,0
Cluster_18,0,0,0,0,1,0,0
Cluster_19,1,1,0,0,0,0,1
Cluster_20,0,0,0,0,0,0,1
Cluster_21,2,0,0,0,2,0,2
Cluster_22,6,4,0,1,1,0,0
Cluster_23,1,0,0,0,0,0,0
Cluster_24,2,0,0,0,0,1,0
Cluster_25,0,1,0,2,1,6,1
Cluster_26,1,0,0,0,0,0,0
Cluster_27,0,0,0,0,0,1,0
Cluster_28,7,0,1,0,1,0,0
Cluster_29,0,0,0,0,0,2,0
Cluster_30,17,5,2,4,1,2,0
Cluster_31,0,0,0,0,3,1,0
Cluster_32,0,0,0,0,2,0,0
Cluster_33,0,4,0,0,2,2,1
