a,b,w2,p,exceeds_floor
m1fm2,m6fm6,1.971349533740617,0.004975124378109453,False
m1fm2,m2fm4,1.9699832758643268,0.004975124378109453,False
m1fm2,m3fm3,1.9523453828775859,0.004975124378109453,False
m1fm2,m5fm5,1.951775148426637,0.004975124378109453,False
m1fm2,m4fm1,1.950636723886076,0.004975124378109453,False
m1fm2,m4fm3,1.9493872839659214,0.004975124378109453,False
m1fm2,m2fm1,1.9400794569373914,0.004975124378109453,False
m1fm2,m4fm4,1.9071969134542728,0.004975124378109453,False
m1fm2,m3fm1,1.9042631119394744,0.004975124378109453,False
m1fm4,m3fm3,1.8886901637263422,0.004975124378109453,False
m1fm4,m2fm4,1.8857076989715906,0.004975124378109453,False
m1fm2,m2fm2,1.8763530007138072,0.004975124378109453,False
m1fm4,m2fm1,1.8743168029146002,0.004975124378109453,False
m1fm2,m4fm2,1.8697347894277763,0.004975124378109453,False
m1fm4,m4fm4,1.8696689658251224,0.004975124378109453,False
m1fm2,m2fm3,1.8693084008902394,0.004975124378109453,False
m1fm4,m4fm3,1.8683384464742359,0.004975124378109453,False
m1fm4,m4fm1,1.8659297226518097,0.004975124378109453,False
m1fm1,m1fm2,1.852011536805048,0.004975124378109453,False
m1fm1,m2fm4,1.8518475752366628,0.004975124378109453,False
m1fm4,m5fm5,1.8488915637088554,0.004975124378109453,False
m3fm1,m3fm3,1.8454681236777752,0.004975124378109453,False
m1fm4,m6fm6,1.8342228684947037,0.004975124378109453,False
m1fm2,m3fm2,1.8299153989917367,0.004975124378109453,False
m1fm4,m2fm3,1.8216906930484136,0.004975124378109453,False
m1fm2,m3fm4,1.8127810188105258,0.004975124378109453,False
m1fm4,m3fm1,1.809376788278024,0.004975124378109453,False
m1fm1,m3fm3,1.8085227623401243,0.004975124378109453,False
m1fm2,m1fm4,1.8060821047779048,0.06467661691542288,False
m1fm4,m4fm2,1.8002355666224337,0.004975124378109453,False
m2fm3,m2fm4,1.790457961881282,0.004975124378109453,False
m2fm3,m3fm1,1.7840190399882312,0.004975124378109453,False
m1fm1,m2fm3,1.772660774221308,0.004975124378109453,False
m1fm4,m3fm2,1.77243708867634,0.004975124378109453,False
m1fm4,m2fm2,1.76904656302426,0.004975124378109453,False
m2fm3,m6fm6,1.7665530182056186,0.004975124378109453,False
m1fm4,m3fm4,1.7661694168824633,0.004975124378109453,False
m2fm3,m4fm1,1.7557125011826122,0.004975124378109453,False
m3fm3,m3fm4,1.7540920817538215,0.004975124378109453,False
m1fm1,m2fm1,1.7492576238872937,0.004975124378109453,False
m1fm1,m6fm6,1.7448075661907108,0.004975124378109453,False
m2fm3,m3fm4,1.7425133042001029,0.004975124378109453,False
m1fm1,m4fm1,1.7399832592626159,0.004975124378109453,False
m1fm1,m4fm2,1.7354126378253807,0.004975124378109453,False
m3fm3,m6fm6,1.7184477772198874,0.004975124378109453,False
m1fm1,m1fm4,1.7097001165394452,0.004975124378109453,False
m3fm1,m4fm4,1.704993435639254,0.004975124378109453,False
m2fm4,m3fm3,1.6944968295173675,0.004975124378109453,False
m1fm1,m4fm4,1.6926451196966261,0.004975124378109453,False
m2fm4,m4fm3,1.69189542633934,0.004975124378109453,False
m2fm4,m5fm5,1.689307093630029,0.004975124378109453,False
m3fm3,m4fm1,1.6879373575283743,0.004975124378109453,False
m3fm3,m4fm3,1.6876688594828335,0.004975124378109453,False
m3fm1,m5fm5,1.685568194598866,0.004975124378109453,False
m2fm1,m2fm3,1.6846610455738569,0.004975124378109453,False
m2fm3,m4fm3,1.67839088945579,0.004975124378109453,False
m2fm2,m2fm3,1.6779836775035062,0.009950248756218905,False
m1fm1,m3fm2,1.67660642730497,0.004975124378109453,False
m2fm4,m3fm4,1.6755874056147044,0.004975124378109453,False
m3fm3,m4fm2,1.6750380219938177,0.004975124378109453,False
m3fm1,m3fm2,1.6748019402812215,0.004975124378109453,False
m1fm1,m4fm3,1.6650077167422732,0.004975124378109453,False
m2fm3,m4fm2,1.661571909901424,0.004975124378109453,False
m2fm1,m2fm4,1.6607706753243179,0.009950248756218905,False
m2fm4,m3fm1,1.6605369541353379,0.004975124378109453,False
m1fm1,m3fm1,1.6583117587426117,0.004975124378109453,False
m2fm4,m4fm1,1.654744570269061,0.029850746268656716,False
m2fm1,m3fm3,1.6534922483706367,0.004975124378109453,False
m2fm4,m6fm6,1.653340852958472,0.014925373134328358,False
m3fm1,m4fm3,1.6517747793550863,0.004975124378109453,False
m2fm2,m3fm3,1.6512750058818133,0.004975124378109453,False
m3fm4,m6fm6,1.6504779931453537,0.004975124378109453,False
m3fm1,m4fm2,1.6480515187574665,0.004975124378109453,False
m2fm4,m4fm2,1.6441728801770845,0.004975124378109453,False
m3fm4,m4fm1,1.6436805038540836,0.009950248756218905,False
m3fm1,m4fm1,1.6415485606008704,0.004975124378109453,False
