make,model,year_from,year_to,engine_code,fuel_type,oil_viscosity,oil_capacity_l,oil_spec,oil_oem_approval,oil_change_interval_km,confidence,notes
Daihatsu,Sirion,1998,2005,EJ-VE,petrol,5W-30,3.2,API SL/SM,Toyota,10000,HIGH,Gen1 M100/M110 1.0L - shared Toyota EJ-VE
Daihatsu,Sirion,2005,2013,1KR-FE,petrol,0W-20,3.4,API SN/GF-5,Toyota,10000,HIGH,Gen2/3 M300 1.0L 3-cyl - identical to Toyota Yaris/Aygo
Daihatsu,Sirion,2005,2013,K3-VE,petrol,5W-30,3.7,API SL/SM,Toyota,10000,HIGH,Gen2/3 M301 1.3L 4-cyl DVVT
Daihatsu,Sirion,2007,2013,3SZ-VE,petrol,5W-30,4.0,API SL/SM,Toyota,10000,HIGH,Gen3 M302 1.5L 4-cyl DVVT
Daihatsu,Terios,1997,2005,HC-EJ,petrol,5W-30,3.3,API SL,Toyota,10000,HIGH,Gen1 J100 1.3L - shared with Toyota Cami
Daihatsu,Terios,2006,2017,K3-VE,petrol,5W-30,3.7,API SL/SM,Toyota,10000,HIGH,Gen2 J200 1.3L 4-cyl VVT-i
Daihatsu,Terios,2006,2017,3SZ-VE,petrol,5W-30,4.0,API SL/SM,Toyota,10000,HIGH,Gen2 J200 1.5L 4-cyl DVVT
Daihatsu,Materia,2006,2012,K3-VE,petrol,5W-30,3.7,API SL/SM,Toyota,10000,HIGH,M400 1.3L - shared platform with Toyota bB
Daihatsu,Materia,2006,2012,3SZ-VE,petrol,5W-30,4.0,API SL/SM,Toyota,10000,HIGH,M400 1.5L DVVT
Smart,ForTwo,2007,2014,3B21,petrol,5W-30,3.5,API SM/ACEA A3/B4,MB 229.5,10000,HIGH,451 model 1.0L 3-cyl Mitsubishi engine - 61/71/84 hp variants
Smart,ForTwo,2007,2014,OM660,diesel,5W-30,3.3,ACEA C3,MB 229.51,10000,HIGH,451 model 0.8L CDI diesel turbo 45/54 hp
Smart,ForTwo,2014,2019,M281,petrol,5W-30,3.5,API SN/ACEA A3/B4,RN0700/RN0710,15000,HIGH,453 model 1.0L 3-cyl Renault engine 71 hp
Smart,ForTwo,2014,2019,H4B,petrol,5W-30,4.3,API SN/ACEA A3/B4,RN0700/RN0710,15000,HIGH,453 model 0.9L turbo Renault engine 90 hp
Smart,ForFour,2004,2006,4A90,petrol,5W-30,3.3,API SM,Mitsubishi,10000,MEDIUM,454 model 1.1L Mitsubishi engine
Smart,ForFour,2004,2006,4A91,petrol,5W-30,3.5,API SM,Mitsubishi,10000,MEDIUM,454 model 1.3L Mitsubishi engine
Smart,ForFour,2004,2006,4A92,petrol,5W-30,3.8,API SM,Mitsubishi,10000,MEDIUM,454 model 1.5L Mitsubishi engine
Smart,ForFour,2014,2019,M281,petrol,5W-30,3.5,API SN/ACEA A3/B4,RN0700/RN0710,15000,HIGH,453 model 1.0L 3-cyl Renault engine 71 hp
Smart,ForFour,2014,2019,H4B,petrol,5W-30,4.3,API SN/ACEA A3/B4,RN0700/RN0710,15000,HIGH,453 model 0.9L turbo Renault engine 90 hp
Chrysler,PT Cruiser,2000,2010,ECN/EDZ,petrol,5W-30,4.3,API SM/SN,MS-6395,8000,HIGH,2.0L/2.4L World Engine - most common Israeli spec
Chrysler,PT Cruiser,2002,2010,OM646,diesel,5W-30,6.5,ACEA C3,MB 229.51,15000,MEDIUM,2.2 CRD - Mercedes OM646 diesel
Chrysler,Sebring,2001,2006,EDZ,petrol,5W-30,4.3,API SL/SM,MS-6395,8000,HIGH,2.4L DOHC - Gen2 JR platform
Chrysler,Sebring,2007,2010,EBA/ECN,petrol,5W-30,4.3,API SM,MS-6395,8000,HIGH,2.4L GEMA World Engine - Gen3 JS platform
Chrysler,Sebring,2001,2010,EER,petrol,5W-30,4.7,API SL/SM,MS-6395,8000,MEDIUM,2.7L V6 DOHC
Chrysler,300C,2005,2010,EGG,petrol,5W-30,5.7,API SM,MS-6395,8000,HIGH,3.5L V6 MPI
Chrysler,300C,2005,2010,EZH,petrol,5W-20,6.6,API SN,MS-6395,8000,HIGH,5.7L Hemi V8 MDS
Chrysler,300C,2011,2023,ERB,petrol,5W-20,5.7,API SN/SP,MS-6395,12000,HIGH,3.6L Pentastar V6 VVT
Chrysler,300C,2012,2014,EGF,diesel,5W-30,7.7,ACEA C3,MB 229.52,15000,MEDIUM,3.0L V6 CRD - Mercedes OM642 diesel
Chrysler,Grand Voyager,2001,2007,EGA,petrol,5W-30,4.7,API SL/SM,MS-6395,8000,MEDIUM,3.3L V6 OHV - RS/RG platform
Chrysler,Grand Voyager,2008,2016,ERB,petrol,5W-20,5.7,API SN,MS-6395,12000,HIGH,3.6L Pentastar V6 - RT platform
Chrysler,Grand Voyager,2001,2007,ENJ,diesel,5W-40,5.9,ACEA B3/B4,MS-6395,12000,MEDIUM,2.5L CRD diesel - VM Motori
Chrysler,Grand Voyager,2008,2016,ENS,diesel,5W-30,6.6,ACEA C3,MS-12633,15000,MEDIUM,2.8L CRD diesel - VM Motori R428
Chrysler,Neon,1999,2005,ECH,petrol,5W-30,4.3,API SL,MS-6395,8000,HIGH,2.0L SOHC - PL platform
Chrysler,Crossfire,2003,2008,M112,petrol,5W-40,7.5,ACEA A3/B4,MB 229.5,10000,MEDIUM,3.2L V6 Mercedes M112 engine
Chrysler,200,2011,2017,ECN,petrol,5W-20,4.3,API SN,MS-6395,12000,HIGH,2.4L GEMA World Engine
Chrysler,200,2015,2017,ERB,petrol,5W-20,5.7,API SN/SP,MS-6395,12000,HIGH,3.6L Pentastar V6
Chrysler,Town & Country,2008,2016,ERB,petrol,5W-20,5.7,API SN,MS-6395,12000,HIGH,3.6L Pentastar V6
Dodge,Neon,1999,2005,ECH,petrol,5W-30,4.3,API SL,MS-6395,8000,HIGH,Same as Chrysler Neon - PL platform 2.0L
Dodge,Caliber,2006,2012,ECN,petrol,5W-20,4.3,API SM/SN,MS-6395,8000,HIGH,2.0L/2.4L GEMA World Engine
Dodge,Journey,2008,2020,ERB,petrol,5W-20,5.7,API SN,MS-6395,12000,HIGH,3.6L Pentastar V6
Dodge,Journey,2008,2020,ED3,petrol,5W-20,4.3,API SN,MS-6395,8000,HIGH,2.4L GEMA World Engine
