wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_21-24-52_0003143,0,1.208320,1.233920,25.60,0.055493,0.043708,,2026-02-08T21:54:56.242236
2024-09-30_21-24-52_0003143,1,1.297920,1.451520,153.60,0.183866,0.124638,,2026-02-08T21:54:56.668734
2024-09-30_21-24-52_0003143,2,1.488952,1.613653,124.70,0.320526,0.168955,,2026-02-08T21:54:57.064735
2024-09-30_21-24-52_0003143,3,1.652053,1.805653,153.60,0.217634,0.103795,,2026-02-08T21:54:57.493235
2024-09-30_21-24-52_0003143,4,1.848320,1.933653,85.33,0.251639,0.126452,,2026-02-08T21:54:57.875235
2024-09-30_21-24-52_0003143,5,1.976320,2.018987,42.67,0.114958,0.071233,,2026-02-08T21:54:58.256735
2024-09-30_21-24-52_0003143,6,2.104158,2.146821,42.66,0.043730,0.041785,,2026-02-08T21:54:58.743471
2024-09-30_21-24-52_0003143,7,2.262187,2.428587,166.40,0.126177,0.081213,,2026-02-08T21:54:59.150972
2024-09-30_21-24-52_0003143,8,2.513920,2.684587,170.67,0.199094,0.103552,,2026-02-08T21:54:59.565470
2024-09-30_21-24-52_0003143,9,2.722987,2.842453,119.47,0.478931,0.214902,,2026-02-08T21:54:59.960471
2024-09-30_21-24-52_0003143,10,2.910720,3.007768,97.05,0.127139,0.083919,,2026-02-08T21:55:00.345971
2024-09-30_21-24-52_0003143,11,3.725653,3.913512,187.86,0.130252,0.076079,,2026-02-08T21:55:00.742010
2024-09-30_21-24-52_0003143,12,3.965134,4.058453,93.32,0.254471,0.135345,,2026-02-08T21:55:01.131010
2024-09-30_21-24-52_0003143,13,4.101120,4.293120,192.00,0.292233,0.158876,,2026-02-08T21:55:01.528011
2024-09-30_21-24-52_0003143,14,4.378453,4.421120,42.67,0.113962,0.075261,,2026-02-08T21:55:01.926213
2024-09-30_21-24-52_0003143,15,4.516345,4.538957,22.61,0.000000,0.000000,,2026-02-08T21:55:02.289213
