wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-10-01_01-03-15_0004134,0,0.559787,0.576853,17.07,0.048039,0.041646,deleted_by_user,2026-03-31T13:03:53.836519
2024-10-01_01-03-15_0004134,0,0.619520,0.657920,38.40,0.174546,0.105208,deleted_by_user,2026-03-31T13:03:57.173750
2024-10-01_01-03-15_0004134,0,0.726187,0.743253,17.07,0.069085,0.052384,deleted_by_user,2026-03-31T13:04:01.226046
2024-10-01_01-03-15_0004134,0,0.751787,0.802987,51.20,0.191003,0.098494,deleted_by_user,2026-03-31T13:04:04.662703
2024-10-01_01-03-15_0004134,0,0.905387,0.918187,12.80,0.062569,0.045098,deleted_by_user,2026-03-31T13:04:07.976605
2024-10-01_01-03-15_0004134,15,2.266453,2.321920,55.47,0.112046,0.078616,deleted_by_user,2026-03-31T13:03:09.480452
2024-10-01_01-03-15_0004134,15,2.833920,2.846720,12.80,0.056610,0.045070,deleted_by_user,2026-03-31T13:03:16.425214
2024-10-01_01-03-15_0004134,16,2.330453,2.420053,89.60,0.533517,0.307445,deleted_by_user,2026-03-31T13:03:05.635412
2024-10-01_01-03-15_0004134,16,3.166720,3.188053,21.33,0.082098,0.054238,deleted_by_user,2026-03-31T13:03:20.476617
2024-10-01_01-03-15_0004134,16,3.200853,3.247787,46.93,0.076270,0.056924,deleted_by_user,2026-03-31T13:03:26.087943
2024-10-01_01-03-15_0004134,16,3.286187,3.303253,17.07,0.075486,0.057456,deleted_by_user,2026-03-31T13:03:29.622298
2024-10-01_01-03-15_0004134,16,3.431253,3.486720,55.47,0.124012,0.071412,deleted_by_user,2026-03-31T13:03:33.835567
2024-10-01_01-03-15_0004134,16,3.520853,3.559253,38.40,0.226463,0.118065,deleted_by_user,2026-03-31T13:03:36.313411
2024-10-01_01-03-15_0004134,16,3.849387,3.887787,38.40,0.240808,0.144722,deleted_by_user,2026-03-31T13:03:41.325590
2024-10-01_01-03-15_0004134,16,3.956053,4.002616,46.56,0.140039,0.090354,deleted_by_user,2026-03-31T13:03:44.493809
