id,umap_x,umap_y,syllable_type
1,4.9940877,12.028735,Flat
1,4.9862013,12.121892,Flat
2,6.3417253,12.726296,Short
3,6.3139434,12.756257,Short
4,6.325088,12.743038,Short
5,6.357427,12.706233,Short
6,6.3473115,12.718655,Short
1,-1.95423,13.667737,Short
1,0.17903085,15.944253,Up
2,4.6266437,11.02889,Short
1,4.8123226,10.659806,Short
2,3.507126,12.930574,Up
1,5.1979446,12.301973,Down
1,7.0120087,14.510549,Short
2,7.0566945,14.453374,Up
1,5.7917986,17.293888,Short
1,-0.36387557,12.242654,Short
1,4.7432594,17.7692,Complex
1,5.1528053,15.63029,Short
2,5.992602,16.933956,Short
1,5.893515,15.932929,Down
2,5.8009624,16.344845,Short
3,4.698766,11.038609,Short
1,2.9226513,16.227188,Chevron
1,-1.7937046,13.799271,Short
1,4.4244175,17.366102,Chevron
1,3.8171687,10.8776865,Short
2,3.3383923,11.040493,Flat
1,-0.91981834,12.971308,Down
2,6.7318187,15.075685,Short
1,2.7503881,14.558415,Short
1,-1.6268389,12.54295,Short
2,5.902285,11.1429615,Short
1,5.028542,12.075238,Short
1,5.105143,12.199081,Short
1,3.038829,17.289265,Chevron
2,3.09528,17.330614,Chevron
1,5.3254895,16.739908,Chevron
2,3.6413898,17.737982,Complex
3,3.5566354,17.645641,Chevron
4,4.5551624,10.791594,Short
5,5.839254,11.362091,Short
1,5.8804135,11.318992,Short
2,4.853397,10.469789,Short
3,5.7470155,16.091347,Down
4,4.7777424,15.828557,Chevron
5,4.080008,11.122903,Flat
6,5.9283133,11.198847,Short
7,5.0436397,15.981332,Chevron
8,2.3308446,15.212439,Up
9,2.9248972,15.459275,Up
10,3.0638986,14.391996,Short
11,2.437461,16.169756,Up
12,2.7664707,16.36698,Chevron
13,4.40688,11.065549,Flat
1,3.4735022,10.913409,Short
2,4.808988,10.489868,Short
3,3.5324776,13.0988,Flat
4,6.081135,16.38577,Short
5,-0.3649051,12.339609,Short
6,4.8660817,17.738043,Short
1,3.6624875,10.930675,Short
2,3.8786943,16.14961,Short
3,7.197629,14.450827,Short
1,7.1680074,14.502016,Short
2,3.4220433,10.958042,Short
1,3.302555,11.096378,Flat
1,-0.5387294,14.12437,Flat
1,-0.4271256,14.154659,Flat
2,0.7098128,16.530533,Flat
