,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,feature_label
call_length_s,0.05428783272865238,0.44331537132550125,0.34827724192392107,-0.0754771723002111,0.7262118154489435,0.36668488349188316,0.009210589732587145,0.03863875465259924,-0.10055485557723379,-4.078900533992357e-17,Duration (s)
principal_freq_hz,-0.02814452366500339,-0.42880689453090004,0.5583268786148325,-0.031591066909536135,-0.026468066710230442,0.011511442207483069,0.700084940551487,-0.08540286043471906,-0.06603021795880051,1.4013087606201618e-16,Principal freq (kHz)
low_freq_hz,-0.2990553318252924,-0.42937103811995736,0.3181294032632493,-0.07386576591056551,0.022766067945836688,0.18820921113510022,-0.4899584946340945,0.33459168964062236,0.03731717326630343,0.4797910523023498,Low freq (kHz)
high_freq_hz,0.3634098489829687,-0.18461482856701633,0.4679790625713677,-0.026849681531988794,-0.02811029214858042,-0.17068780086564617,-0.4960716811125914,-0.24832588163041067,0.05700728022652068,-0.5226835927734426,High freq (kHz)
bandwidth_hz,0.4731550037176571,0.15540400918437258,0.1305084534744263,0.03037638526201645,-0.036349845309677095,-0.2547420902369346,-0.03435620701147826,-0.41199073350916876,0.016875720739754838,0.7047002256108976,Bandwidth (kHz)
freq_std_dev_hz,0.4597211005028289,0.1450897813215346,0.12609357017137887,-0.006569641156024547,-0.06937669187177056,-0.2882864156969984,0.11530836534065522,0.8008286395219679,0.09548824345656724,-1.0227921882267371e-15,Freq SD (kHz)
slope,-0.03508639555549056,0.026625782898235705,0.1117354540657954,0.9889514693591743,-0.004162001994406603,0.06882116442888753,-0.028618122879505742,0.037265392655464843,-0.02426542206843554,-9.768589693286496e-18,Slope
sinuosity,0.4085754604886259,0.01599362319055272,-0.026305851791186493,-0.038579426770747695,-0.4282727239668813,0.8016005580975897,0.02295306915653405,0.0069292231576987846,0.0638285887488782,5.258584536328256e-16,Sinuosity
mean_power_db,-0.327275636136434,0.40449781555969705,0.3070666397397189,-0.03432717057140782,-0.2523790898341662,-0.02813752180247145,0.04237598118771635,-0.06165937229170901,0.7508124747410031,-9.230884452308094e-17,Mean power (dB)
tonality,-0.2535082943587292,0.4374578192711629,0.3261358053121969,-0.07396298843060224,-0.4662004592483106,-0.06898211966731564,-0.0776651117529357,0.03598026700296954,-0.6349025623284987,2.0178937603820437e-16,Tonality
