Mouse_ID,Date,Water_Received_ml,Phase,Session_ID,Trial_ID,Trial_Start,Outcome,Reaction_Time,Is_Punished,Total_Licks,Day_Name
mouse_1,2025-08-06,,1,1,1,0.022456645965576172,Hit,22.985608261131325,0,3,Wednesday
mouse_1,2025-08-06,,1,1,2,23.97807502746582,Hit,2.853580200042515,0,6,Wednesday
mouse_1,2025-08-06,,1,1,3,48.18789553642273,Hit,12.683045527029186,0,8,Wednesday
mouse_1,2025-08-06,,1,1,4,72.14783382415771,Hit,1.224462123019947,0,5,Wednesday
mouse_1,2025-08-06,,1,1,5,97.5949239730835,Hit,3.634225395184828,0,11,Wednesday
mouse_1,2025-08-06,,1,1,6,122.55805563926697,Hit,3.0954058510463938,0,10,Wednesday
mouse_1,2025-08-06,,1,1,7,149.2581341266632,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,8,173.46922636032104,Hit,3.8492596567687087,0,14,Wednesday
mouse_1,2025-08-06,,1,1,9,197.42927289009094,Hit,3.753374733115635,0,6,Wednesday
mouse_1,2025-08-06,,1,1,10,221.13114738464355,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,11,245.5895516872406,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,12,272.3097333908081,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,13,296.0293996334076,Hit,16.550477925921314,0,13,Wednesday
mouse_1,2025-08-06,,1,1,14,320.4989116191864,Hit,14.341264707067353,0,11,Wednesday
mouse_1,2025-08-06,,1,1,15,344.2198669910431,Hit,2.2440748707574016,0,8,Wednesday
mouse_1,2025-08-06,,1,1,16,368.6809937953949,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,17,392.38812136650085,Hit,14.41955324863477,0,8,Wednesday
mouse_1,2025-08-06,,1,1,18,416.3481285572052,Hit,16.810977335116775,0,7,Wednesday
mouse_1,2025-08-06,,1,1,19,442.808660030365,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,20,467.5185205936432,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,21,492.4781014919281,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,22,517.9378824234009,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,23,542.6478836536407,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,24,569.3561596870422,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,25,595.0773301124573,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,26,620.0282125473022,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,27,644.9873723983765,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,28,670.6885814666748,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,29,694.3849217891693,Hit,3.9636339764723516,0,8,Wednesday
mouse_1,2025-08-06,,1,1,30,720.0968990325928,Hit,1.6544637818601586,0,2,Wednesday
mouse_1,2025-08-06,,1,1,31,745.8068397045135,Hit,4.155045921752389,0,28,Wednesday
mouse_1,2025-08-06,,1,1,32,772.5260539054871,Hit,0.0,0,3,Wednesday
mouse_1,2025-08-06,,1,1,33,798.7337236404419,Hit,16.283490245460825,0,7,Wednesday
mouse_1,2025-08-06,,1,1,34,825.6837470531464,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,35,852.1453285217285,Hit,23.509635023960186,0,1,Wednesday
mouse_1,2025-08-06,,1,1,36,875.8648700714111,Hit,9.621153348704183,0,8,Wednesday
mouse_1,2025-08-06,,1,1,37,902.3181400299072,Hit,1.8667805620254967,0,6,Wednesday
mouse_1,2025-08-06,,1,1,38,926.2783935070038,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,39,952.2328808307648,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,40,976.4378826618195,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,41,1003.4030468463898,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,42,1026.6128504276276,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,43,1052.832414150238,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,44,1076.2898337841034,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,45,1100.501835346222,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,46,1127.2117536067963,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,47,1152.9141788482666,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,48,1179.6207823753357,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,49,1206.5903425216675,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,50,1230.3080968856812,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,51,1257.0095829963684,Hit,0.0,0,0,Wednesday
mouse_1,2025-08-06,,1,1,52,1283.7044730186462,Hit,0.0,0,0,Wednesday
