wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_21-14-30_0003068,0,1.013225,1.182720,169.49,0.874514,0.416950,,2026-02-08T21:16:30.645972
2024-09-30_21-14-30_0003068,1,1.208320,1.412969,204.65,0.860467,0.431043,,2026-02-08T21:16:31.040472
2024-09-30_21-14-30_0003068,2,1.481387,1.515520,34.13,0.044345,0.037579,,2026-02-08T21:16:31.406471
2024-09-30_21-14-30_0003068,3,1.532587,1.617920,85.33,0.280776,0.144301,,2026-02-08T21:16:31.857971
2024-09-30_21-14-30_0003068,4,1.656320,1.809920,153.60,0.466774,0.235293,,2026-02-08T21:16:32.233471
2024-09-30_21-14-30_0003068,5,1.844053,1.954987,110.93,0.243679,0.145273,,2026-02-08T21:16:32.600971
2024-09-30_21-14-30_0003068,6,1.976320,2.044587,68.27,0.206563,0.113115,,2026-02-08T21:16:32.943971
2024-09-30_21-14-30_0003068,7,2.095787,2.189653,93.87,0.277515,0.152195,,2026-02-08T21:16:33.312472
2024-09-30_21-14-30_0003068,9,2.471253,2.513652,42.40,0.065940,0.052461,,2026-02-08T21:16:33.676470
2024-09-30_21-14-30_0003068,10,2.597270,2.630973,33.70,0.000000,0.000000,added_manually,2026-02-08T21:16:34.053504
