wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_21-28-47_0003159,0,2.129920,2.236587,106.67,0.258532,0.143360,,2026-02-14T16:25:27.122797
2024-09-30_21-28-47_0003159,1,2.279253,2.492587,213.33,0.270183,0.116116,,2026-02-14T16:25:27.524797
2024-09-30_21-28-47_0003159,2,2.535885,2.607787,71.90,0.048099,0.040971,,2026-02-14T16:25:27.901798
2024-09-30_21-28-47_0003159,3,2.769920,2.872320,102.40,0.159038,0.107487,,2026-02-14T16:25:28.283297
2024-09-30_21-28-47_0003159,4,2.914987,3.115520,200.53,0.279983,0.167008,,2026-02-14T16:25:28.661799
2024-09-30_21-28-47_0003159,5,3.162453,3.336668,174.21,0.195507,0.123338,,2026-02-14T16:25:29.163297
2024-09-30_21-28-47_0003159,6,3.393410,3.461670,68.26,0.057432,0.044601,,2026-02-14T16:25:29.528916
2024-09-30_21-28-47_0003159,7,3.506467,3.563520,57.05,0.062987,0.047800,,2026-02-14T16:25:29.881952
2024-09-30_21-28-47_0003159,8,3.616110,3.740259,124.15,0.092194,0.062302,,2026-02-14T16:25:30.279417
2024-09-30_21-28-47_0003159,9,3.787189,3.826012,38.82,0.000000,0.000000,added_manually,2026-02-14T16:25:30.718414
