wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_11-24-49_0000093,0,0.022187,0.038396,16.21,0.111084,0.090914,deleted_by_user,2026-02-16T00:23:00.852471
2024-09-30_11-24-49_0000093,0,0.542720,0.602453,59.73,0.103545,0.068581,deleted_by_user,2026-02-16T00:23:03.318470
2024-09-30_11-24-49_0000093,0,0.619520,0.730453,110.93,0.123339,0.074339,deleted_by_user,2026-02-16T00:23:05.181469
2024-09-30_11-24-49_0000093,0,0.785920,0.820053,34.13,0.045142,0.038007,deleted_by_user,2026-02-16T00:23:08.128971
2024-09-30_11-24-49_0000093,0,0.875520,0.892587,17.07,0.084473,0.062986,deleted_by_user,2026-02-16T00:23:09.979971
2024-09-30_11-24-49_0000093,2,1.322956,1.413120,90.16,0.101440,0.055430,deleted_by_user,2026-02-16T00:23:18.354490
2024-09-30_11-24-49_0000093,2,1.447956,1.485653,37.70,0.064704,0.047398,deleted_by_user,2026-02-16T00:23:20.748243
2024-09-30_11-24-49_0000093,2,1.536853,1.575253,38.40,0.075080,0.064880,deleted_by_user,2026-02-16T00:23:23.760931
2024-09-30_11-24-49_0000093,2,1.609387,1.669120,59.73,0.105982,0.067001,deleted_by_user,2026-02-16T00:23:28.448130
2024-09-30_11-24-49_0000093,2,1.681920,1.698987,17.07,0.041299,0.039796,deleted_by_user,2026-02-16T00:23:30.105137
2024-09-30_11-24-49_0000093,6,3.077120,3.089920,12.80,0.081509,0.064472,deleted_by_user,2026-02-16T00:23:42.598254
2024-09-30_11-24-49_0000093,6,3.179520,3.217920,38.40,0.094488,0.073115,deleted_by_user,2026-02-16T00:23:44.266458
2024-09-30_11-24-49_0000093,6,3.896320,3.921920,25.60,0.067540,0.046529,deleted_by_user,2026-02-16T00:23:49.520678
