cohort,stratum,archetype,mean,ci_lo,ci_hi
lab_131204,LAB,0,0.0813094934633858,0.08010285537147728,0.08265339776211651
lab_131204,LAB,1,0.07150585944303042,0.0703288851276143,0.07261158886646125
lab_131204,LAB,2,0.10009523981009114,0.09882090993704612,0.10132195483161095
lab_131204,LAB,3,0.20110519142712655,0.19903370298192813,0.20325116540498714
lab_131204,LAB,4,0.14072573280366502,0.1390643619709239,0.1424148665594838
lab_131204,LAB,5,0.1593328241744536,0.15752109293233704,0.16116616228432906
lab_131204,LAB,6,0.07709431126033409,0.07613283891030681,0.07813802303122219
lab_131204,LAB,7,0.16883134761791452,0.16708618674283562,0.17054778170623194
5970,WILD(noise-floor),0,0.09093234328703576,0.08738792973388479,0.09437677115549398
5970,WILD(noise-floor),1,0.06593428227658227,0.06329326670373847,0.06856530665693501
5970,WILD(noise-floor),2,0.09131436207696407,0.08867766259507934,0.09373771493000897
5970,WILD(noise-floor),3,0.12460061005345621,0.1203555038779594,0.1285602420460489
5970,WILD(noise-floor),4,0.13738488065164628,0.13382700719951837,0.14168620084059153
5970,WILD(noise-floor),5,0.23060619861092196,0.22589310954349615,0.23526736391798395
5970,WILD(noise-floor),6,0.06527253125098735,0.0629593091508651,0.06769217227846007
5970,WILD(noise-floor),7,0.1939547917924066,0.1894078043565297,0.19830339991286133
3452,WILD(noise-floor),0,0.04087799242234346,0.0315838420859613,0.052238862869858044
3452,WILD(noise-floor),1,0.02687941756091026,0.019435721326744832,0.035042814700626146
3452,WILD(noise-floor),2,0.060973924274106805,0.05184725635465924,0.07058575192522695
3452,WILD(noise-floor),3,0.3318941209864509,0.30329369410057666,0.3595385903602902
3452,WILD(noise-floor),4,0.13605186709196024,0.11756840339849636,0.15538289611506886
3452,WILD(noise-floor),5,0.1821320717228894,0.16143265192648304,0.20066233333524489
3452,WILD(noise-floor),6,0.03921910576740336,0.030517593309557084,0.04857095170014546
3452,WILD(noise-floor),7,0.1819715001739355,0.16359771213641855,0.2034290957711082
9252,WILD(noise-floor),0,0.05064672383630367,0.041999138443325305,0.059483220477588035
9252,WILD(noise-floor),1,0.038135003617523006,0.030638791755559204,0.046478650709755084
9252,WILD(noise-floor),2,0.06786690030414012,0.05919781213985609,0.07732342845173872
9252,WILD(noise-floor),3,0.282510915993038,0.2631863511856649,0.30229925129741453
9252,WILD(noise-floor),4,0.1468100981311845,0.13243832530588603,0.16263530340858012
9252,WILD(noise-floor),5,0.18664948754757887,0.16990564099459837,0.20297539670660356
9252,WILD(noise-floor),6,0.041059402368340846,0.03334043404939927,0.0486940029829078
9252,WILD(noise-floor),7,0.1863214682018908,0.17253820444031429,0.20087891839627803
