candidate_id,source_file,label,spectrogram_path
2024-09-30_22-33-41_0003488_002860,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002860.png
2024-09-30_22-33-41_0003488_002860_jit01,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002860_jit01.png
2024-09-30_22-33-41_0003488_002860_jit02,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002860_jit02.png
2024-09-30_22-33-41_0003488_002210_roll02210,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02210.png
2024-09-30_22-33-41_0003488_002210_roll02231,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02231.png
2024-09-30_22-33-41_0003488_002210_roll02252,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02252.png
2024-09-30_22-33-41_0003488_002210_roll02273,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02273.png
2024-09-30_22-33-41_0003488_002210_roll02294,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02294.png
2024-09-30_22-33-41_0003488_002210_roll02315,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02315.png
2024-09-30_22-33-41_0003488_002210_roll02336,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02336.png
2024-09-30_22-33-41_0003488_002210_roll02357,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02357.png
2024-09-30_22-33-41_0003488_002210_roll02378,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02378.png
2024-09-30_22-33-41_0003488_002210_roll02399,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02399.png
2024-09-30_22-33-41_0003488_002210_roll02410,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002210_roll02410.png
2024-09-30_22-33-41_0003488_002630_roll02630,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02630.png
2024-09-30_22-33-41_0003488_002630_roll02651,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02651.png
2024-09-30_22-33-41_0003488_002630_roll02672,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02672.png
2024-09-30_22-33-41_0003488_002630_roll02693,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02693.png
2024-09-30_22-33-41_0003488_002630_roll02714,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02714.png
2024-09-30_22-33-41_0003488_002630_roll02735,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02735.png
2024-09-30_22-33-41_0003488_002630_roll02756,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02756.png
2024-09-30_22-33-41_0003488_002630_roll02777,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02777.png
2024-09-30_22-33-41_0003488_002630_roll02798,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02798.png
2024-09-30_22-33-41_0003488_002630_roll02819,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02819.png
2024-09-30_22-33-41_0003488_002630_roll02840,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02840.png
2024-09-30_22-33-41_0003488_002630_roll02861,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02861.png
2024-09-30_22-33-41_0003488_002630_roll02880,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_002630_roll02880.png
2024-09-30_22-33-41_0003488_003110_roll03110,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_003110_roll03110.png
2024-09-30_22-33-41_0003488_003110_roll03131,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_003110_roll03131.png
2024-09-30_22-33-41_0003488_003110_roll03152,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_003110_roll03152.png
2024-09-30_22-33-41_0003488_003110_roll03173,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_003110_roll03173.png
2024-09-30_22-33-41_0003488_003110_roll03194,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_003110_roll03194.png
2024-09-30_22-33-41_0003488_003110_roll03215,2024-09-30_22-33-41_0003488.wav,USV,data/training/matched_windows/spectrograms/2024-09-30_22-33-41_0003488_003110_roll03215.png
