batch,stratum,stem,duration_ms,max_prob,n_tonals,has_loud_616,tier,label
1,dur_250_299,131208_1000_m1fm1_chunk_012,260.26666666666665,0.9941418766975403,0,False,manual_review,real
1,dur_250_299,131212_1000_m1fm2_chunk_017,294.4,0.994823694229126,1,False,auto_accept,real
1,dur_250_299,131211_1000_m1fm4_chunk_004,260.26666666666654,0.9757888317108154,1,False,manual_review,noise
1,dur_250_299,131211_1000_m2fm1_chunk_069,273.06666666666655,1.0,4,False,auto_accept,real
1,dur_250_299,131208_1400_m2fm2_chunk_050,260.26666666666665,0.9998385906219482,0,False,auto_accept,real
1,dur_250_299,131211_1800_m2fm3_chunk_074,256.0,0.9805203080177307,0,False,auto_accept,noise
1,dur_250_299,131210_1000_m2fm4_chunk_010,290.13333333333316,0.9999955892562866,1,False,auto_accept,real
1,dur_250_299,131211_1000_m3fm1_chunk_202,268.8,0.9999995231628418,2,False,auto_accept,real
1,dur_250_299,131217_1400_m3fm2_chunk_293,281.6000000000001,0.9999996423721313,2,False,auto_accept,real
1,dur_250_299,131204_1400_m3fm3_chunk_108,268.79999999999995,0.9999921321868896,1,False,auto_accept,real
1,dur_250_299,131212_1000_m3fm4_chunk_055,277.3333333333334,0.9998651742935181,3,False,auto_accept,real
1,dur_250_299,131210_1000_m4fm1_chunk_100,260.26666666666665,1.0,2,False,auto_accept,real
1,dur_250_299,131211_1000_m4fm2_chunk_155,294.4,0.9999998807907104,2,False,auto_accept,real
1,dur_250_299,131217_1400_m4fm3_chunk_127,264.53333333333353,1.0,1,False,auto_accept,real
1,dur_250_299,131208_1000_m4fm4_chunk_236,251.73333333333332,1.0,0,False,auto_accept,real
1,dur_250_299,131208_1000_m5fm5_chunk_139,251.73333333333332,0.9999986886978149,2,False,auto_accept,real
1,dur_250_299,131210_1000_m6fm6_chunk_302,268.8,0.9999783039093018,1,False,auto_accept,real
1,dur_250_299,131204_1400_m1fm1_chunk_230,256.0,0.9990389347076416,0,False,auto_accept,real
1,dur_250_299,131212_1000_m1fm2_chunk_292,251.73333333333338,0.9576412439346313,0,False,auto_accept,noise
1,dur_250_299,131211_1000_m1fm4_chunk_019,281.59999999999997,0.9977529644966125,1,False,auto_accept,noise
1,dur_250_299,131211_1000_m2fm1_chunk_100,256.0,0.9999997615814209,0,False,auto_accept,real
1,dur_250_299,131218_1000_m2fm2_chunk_126,268.79999999999995,0.9999536275863647,3,False,auto_accept,real
1,dur_250_299,131211_1800_m2fm3_chunk_084,264.53333333333353,0.9999421834945679,0,False,auto_accept,real
1,dur_250_299,131210_1000_m2fm4_chunk_028,264.5333333333333,0.9999605417251587,1,False,auto_accept,real
1,dur_250_299,131211_1000_m3fm1_chunk_124,260.26666666666665,0.9999752044677734,3,False,auto_accept,real
1,dur_200_249,131205_1400_m1fm1_chunk_015,204.79999999999998,0.9988916516304016,0,False,auto_accept,real
1,dur_200_249,131212_1000_m1fm2_chunk_011,234.6666666666668,0.9998490810394287,0,False,auto_accept,real
1,dur_200_249,131211_1800_m1fm4_chunk_020,238.93333333333345,0.9732295274734497,0,False,manual_review,real
1,dur_200_249,131211_1000_m2fm1_chunk_053,200.53333333333322,0.9999717473983765,3,False,auto_accept,real
1,dur_200_249,131204_1400_m2fm2_chunk_216,234.6666666666668,0.9997932314872742,1,False,auto_accept,real
1,dur_200_249,131212_1000_m2fm3_chunk_070,234.66666666666657,0.9999511241912842,1,False,auto_accept,real
1,dur_200_249,131217_1400_m2fm4_chunk_199,234.6666666666668,0.9999536275863647,4,False,auto_accept,real
1,dur_200_249,131211_1000_m3fm1_chunk_028,204.79999999999987,0.9999662637710571,6,True,auto_accept,real
1,dur_200_249,131217_1400_m3fm2_chunk_034,230.40000000000015,0.9999990463256836,2,False,auto_accept,real
1,dur_200_249,131209_1000_m3fm3_chunk_132,200.53333333333322,0.9779621362686157,2,True,auto_accept,noise
1,dur_200_249,131212_1000_m3fm4_chunk_129,200.53333333333322,0.9998912811279297,0,False,auto_accept,real
1,dur_200_249,131210_1000_m4fm1_chunk_145,217.60000000000002,0.9999967813491821,0,False,auto_accept,real
1,dur_200_249,131211_1800_m4fm2_chunk_099,221.86666666666665,0.9997689127922058,10,False,manual_review,real
1,dur_200_249,131217_1400_m4fm3_chunk_051,204.8000000000001,0.99998939037323,5,False,auto_accept,real
1,dur_200_249,131208_1000_m4fm4_chunk_136,243.20000000000007,0.9999986886978149,2,False,auto_accept,real
1,dur_200_249,131204_1400_m5fm5_chunk_131,209.06666666666672,0.9999973773956299,4,False,auto_accept,real
1,dur_200_249,131205_1800_m6fm6_chunk_158,213.33333333333331,0.9999399185180664,1,False,auto_accept,real
1,dur_200_249,131204_1400_m1fm1_chunk_067,226.1333333333333,0.9998138546943665,1,False,manual_review,real
1,dur_200_249,131212_1000_m1fm2_chunk_012,217.59999999999997,0.9994105100631714,1,False,manual_review,real
1,dur_200_249,131211_1800_m1fm4_chunk_127,200.53333333333333,0.9971298575401306,1,False,auto_accept,real
1,dur_200_249,131211_1000_m2fm1_chunk_021,209.06666666666663,1.0,1,False,auto_accept,real
1,dur_200_249,131208_1000_m2fm2_chunk_031,213.33333333333331,0.9999963045120239,4,False,auto_accept,real
1,dur_200_249,131211_1800_m2fm3_chunk_257,209.06666666666652,0.9999997615814209,4,True,auto_accept,real
1,dur_200_249,131210_1000_m2fm4_chunk_053,247.4666666666667,0.9999997615814209,0,False,manual_review,real
1,dur_200_249,131211_1000_m3fm1_chunk_018,200.53333333333333,0.9999303817749023,3,False,auto_accept,real
2,dur_250_299,131208_1000_m1fm1_chunk_243,264.5333333333333,0.9521830677986145,0,False,auto_accept,unsure
2,dur_250_299,131212_1000_m1fm2_chunk_294,268.8,0.9482923150062561,0,False,manual_review,noise
2,dur_250_299,131217_1400_m1fm4_chunk_028,256.0,0.9875049591064453,1,False,auto_accept,real
2,dur_250_299,131211_1000_m2fm1_chunk_111,251.73333333333338,0.9999769926071167,0,False,auto_accept,real
2,dur_250_299,131204_1400_m2fm2_chunk_031,281.59999999999997,0.9998449087142944,1,False,auto_accept,real
2,dur_250_299,131211_1800_m2fm3_chunk_088,256.0,0.9766497611999512,1,False,manual_review,noise
2,dur_250_299,131210_1000_m2fm4_chunk_289,256.0,0.9999996423721313,0,False,auto_accept,real
2,dur_250_299,131211_1000_m3fm1_chunk_205,264.53333333333353,0.9999662637710571,0,False,auto_accept,real
2,dur_250_299,131217_1400_m3fm2_chunk_124,285.8666666666667,0.9671147465705872,0,False,auto_accept,noise
2,dur_250_299,131218_1000_m3fm3_chunk_007,285.8666666666667,0.9989709854125977,0,False,auto_accept,real
2,dur_250_299,131212_1000_m3fm4_chunk_065,260.26666666666665,0.9999792575836182,0,False,auto_accept,real
2,dur_250_299,131210_1000_m4fm1_chunk_143,273.06666666666655,1.0,1,False,auto_accept,real
2,dur_250_299,131211_1800_m4fm2_chunk_094,256.0,0.999998927116394,2,False,auto_accept,real
2,dur_250_299,131212_1000_m4fm3_chunk_098,281.59999999999997,0.9999293088912964,0,False,auto_accept,real
2,dur_250_299,131208_1000_m4fm4_chunk_054,273.06666666666655,1.0,1,False,auto_accept,real
2,dur_250_299,131208_1000_m5fm5_chunk_160,298.66666666666663,0.9999608993530273,0,False,auto_accept,real
2,dur_250_299,131208_1000_m6fm6_chunk_129,260.26666666666665,0.9999531507492065,3,False,auto_accept,real
2,dur_250_299,131204_1400_m1fm1_chunk_287,260.26666666666665,0.996972918510437,0,False,auto_accept,unsure
2,dur_250_299,131217_1400_m1fm4_chunk_142,264.53333333333353,0.9934410452842712,0,False,manual_review,noise
