candidate_id,source_file,start_ms,end_ms,duration_ms,context_start_ms,context_end_ms,peak_freq_hz,peak_energy_db,interference_flag,spectrogram_path
2024-09-30_11-18-17_0000001_00000764,2024-09-30_11-18-17_0000001.wav,764.16,779.9466666666666,15.786666666666633,714.16,829.9466666666666,69726.5625,3.461928954684856,False,spectrograms_review\2024-09-30_11-18-17_0000001_00000764.png
2024-09-30_11-18-17_0000001_00000788,2024-09-30_11-18-17_0000001.wav,788.0533333333333,810.6666666666666,22.613333333333344,738.0533333333333,860.6666666666666,66210.9375,4.899174612616947,False,spectrograms_review\2024-09-30_11-18-17_0000001_00000788.png
2024-09-30_11-18-17_0000001_00000930,2024-09-30_11-18-17_0000001.wav,930.1333333333333,955.3066666666666,25.17333333333329,880.1333333333333,1005.3066666666666,85546.875,7.10094091061218,False,spectrograms_review\2024-09-30_11-18-17_0000001_00000930.png
2024-09-30_11-18-17_0000001_00001013,2024-09-30_11-18-17_0000001.wav,1012.9066666666666,1112.32,99.4133333333333,962.9066666666666,1162.32,62695.3125,14.026841694274134,False,spectrograms_review\2024-09-30_11-18-17_0000001_00001013.png
2024-09-30_11-18-17_0000001_00001190,2024-09-30_11-18-17_0000001.wav,1189.5466666666666,1240.32,50.77333333333331,1139.5466666666666,1290.32,62695.3125,14.026841694274134,False,spectrograms_review\2024-09-30_11-18-17_0000001_00001190.png
2024-09-30_11-18-17_0000001_00001318,2024-09-30_11-18-17_0000001.wav,1317.5466666666666,1368.32,50.77333333333331,1267.5466666666666,1418.32,62695.3125,14.026841694274134,False,spectrograms_review\2024-09-30_11-18-17_0000001_00001318.png
2024-09-30_11-18-17_0000001_00001446,2024-09-30_11-18-17_0000001.wav,1445.5466666666666,1496.32,50.77333333333331,1395.5466666666666,1546.32,62695.3125,14.027378786307194,False,spectrograms_review\2024-09-30_11-18-17_0000001_00001446.png
2024-09-30_11-18-17_0000001_00001574,2024-09-30_11-18-17_0000001.wav,1573.5466666666666,1624.32,50.77333333333331,1523.5466666666666,1674.32,62695.3125,14.027378786307192,False,spectrograms_review\2024-09-30_11-18-17_0000001_00001574.png
2024-09-30_11-18-17_0000001_00001702,2024-09-30_11-18-17_0000001.wav,1701.5466666666666,1752.32,50.77333333333331,1651.5466666666666,1802.32,62695.3125,14.026841694274134,False,spectrograms_review\2024-09-30_11-18-17_0000001_00001702.png
2024-09-30_11-18-17_0000001_00001830,2024-09-30_11-18-17_0000001.wav,1829.5466666666666,1880.32,50.77333333333331,1779.5466666666666,1930.32,62695.3125,14.027378786307194,False,spectrograms_review\2024-09-30_11-18-17_0000001_00001830.png
2024-09-30_11-18-17_0000001_00002041,2024-09-30_11-18-17_0000001.wav,2041.1733333333332,2089.813333333333,48.63999999999987,1991.1733333333332,2139.813333333333,72070.3125,11.313691332355845,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002041.png
2024-09-30_11-18-17_0000001_00002115,2024-09-30_11-18-17_0000001.wav,2114.9866666666667,2144.4266666666667,29.440000000000055,2064.9866666666667,2194.4266666666667,26953.125,4.379915461933197,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002115.png
2024-09-30_11-18-17_0000001_00002363,2024-09-30_11-18-17_0000001.wav,2363.3066666666664,2380.7999999999997,17.49333333333334,2313.3066666666664,2430.7999999999997,84375.0,4.811563345147882,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002363.png
2024-09-30_11-18-17_0000001_00002461,2024-09-30_11-18-17_0000001.wav,2460.5866666666666,2473.813333333333,13.22666666666646,2410.5866666666666,2523.813333333333,62695.3125,5.737405619184576,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002461.png
2024-09-30_11-18-17_0000001_00002566,2024-09-30_11-18-17_0000001.wav,2566.3999999999996,2597.5466666666666,31.146666666666988,2516.3999999999996,2647.5466666666666,60937.5,8.945485477444148,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002566.png
2024-09-30_11-18-17_0000001_00002760,2024-09-30_11-18-17_0000001.wav,2760.1066666666666,2793.813333333333,33.70666666666648,2710.1066666666666,2843.813333333333,65039.0625,6.082587669096173,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002760.png
2024-09-30_11-18-17_0000001_00002825,2024-09-30_11-18-17_0000001.wav,2824.96,2878.293333333333,53.33333333333303,2774.96,2928.293333333333,25781.25,14.350664913651553,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002825.png
2024-09-30_11-18-17_0000001_00002946,2024-09-30_11-18-17_0000001.wav,2946.133333333333,3013.9733333333334,67.84000000000015,2896.133333333333,3063.9733333333334,65039.0625,13.398394139558787,False,spectrograms_review\2024-09-30_11-18-17_0000001_00002946.png
2024-09-30_11-18-17_0000001_00003071,2024-09-30_11-18-17_0000001.wav,3071.1466666666665,3120.213333333333,49.066666666666606,3021.1466666666665,3170.213333333333,70898.4375,9.628591302775035,False,spectrograms_review\2024-09-30_11-18-17_0000001_00003071.png
2024-09-30_11-18-17_0000001_00003199,2024-09-30_11-18-17_0000001.wav,3198.72,3220.9066666666663,22.186666666666497,3148.72,3270.9066666666663,27539.0625,5.65609035304281,False,spectrograms_review\2024-09-30_11-18-17_0000001_00003199.png
2024-09-30_11-18-17_0000001_00003312,2024-09-30_11-18-17_0000001.wav,3312.213333333333,3348.4799999999996,36.266666666666424,3262.213333333333,3398.4799999999996,69726.5625,7.046714368464419,False,spectrograms_review\2024-09-30_11-18-17_0000001_00003312.png
2024-09-30_11-18-17_0000001_00003432,2024-09-30_11-18-17_0000001.wav,3432.1066666666666,3459.8399999999997,27.73333333333312,3382.1066666666666,3509.8399999999997,69726.5625,13.189640768206692,False,spectrograms_review\2024-09-30_11-18-17_0000001_00003432.png
2024-09-30_11-18-17_0000001_00003543,2024-09-30_11-18-17_0000001.wav,3543.04,3573.7599999999998,30.7199999999998,3493.04,3623.7599999999998,69140.625,12.859236697364151,False,spectrograms_review\2024-09-30_11-18-17_0000001_00003543.png
2024-09-30_11-18-17_0000001_00003793,2024-09-30_11-18-17_0000001.wav,3792.64,3822.933333333333,30.293333333333067,3742.64,3872.933333333333,70898.4375,8.391615867829877,False,spectrograms_review\2024-09-30_11-18-17_0000001_00003793.png
2024-09-30_11-18-17_0000001_00004192,2024-09-30_11-18-17_0000001.wav,4191.573333333333,4211.626666666666,20.053333333333285,4141.573333333333,4261.626666666666,63281.25,6.557310387801969,False,spectrograms_review\2024-09-30_11-18-17_0000001_00004192.png
2024-09-30_11-18-17_0000001_00004304,2024-09-30_11-18-17_0000001.wav,4303.786666666666,4340.906666666667,37.1200000000008,4253.786666666666,4390.906666666667,68554.6875,11.165613467781387,False,spectrograms_review\2024-09-30_11-18-17_0000001_00004304.png
2024-09-30_11-18-17_0000001_00004419,2024-09-30_11-18-17_0000001.wav,4419.413333333333,4479.573333333333,60.159999999999854,4369.413333333333,4529.573333333333,71484.375,5.9743776944774485,False,spectrograms_review\2024-09-30_11-18-17_0000001_00004419.png
