candidate_id,label,labeled_at,expand_ms
2024-09-30_11-18-17_0000001_00000788,USV,2026-01-24T19:11:15.323857,25.0
2024-09-30_11-18-17_0000001_00000932,USV,2026-01-24T18:37:25.803023,30.0
2024-09-30_11-18-17_0000001_00001014,USV,2026-01-24T19:11:24.972802,0.0
2024-09-30_11-18-17_0000001_00001076,USV,2026-01-24T19:11:27.762429,0.0
2024-09-30_11-18-17_0000001_00001204,USV,2026-01-24T19:11:29.818794,0.0
2024-09-30_11-18-17_0000001_00001332,USV,2026-01-24T19:11:31.528183,0.0
2024-09-30_11-18-17_0000001_00001460,USV,2026-01-24T19:11:32.126000,0.0
2024-09-30_11-18-17_0000001_00001588,USV,2026-01-24T19:11:32.732139,0.0
2024-09-30_11-18-17_0000001_00001716,USV,2026-01-24T19:11:33.284071,0.0
2024-09-30_11-18-17_0000001_00001844,USV,2026-01-24T19:11:33.813184,0.0
2024-09-30_11-18-17_0000001_00002042,USV,2026-01-24T19:11:34.587374,0.0
2024-09-30_11-18-17_0000001_00002458,USV,2026-01-24T19:11:54.961923,-25.0
2024-09-30_11-18-17_0000001_00002571,USV,2026-01-24T19:12:04.384560,0.0
2024-09-30_11-18-17_0000001_00002766,USV,2026-01-24T19:12:25.620620,-30.0
2024-09-30_11-18-17_0000001_00002828,USV,2026-01-24T19:12:42.016384,20.0
2024-09-30_11-18-17_0000001_00002973,USV,2026-01-24T19:12:47.000505,0.0
2024-09-30_11-18-17_0000001_00003075,USV,2026-01-24T19:12:48.884047,0.0
2024-09-30_11-18-17_0000001_00003106,USV,2026-01-24T19:13:04.868951,30.0
2024-09-30_11-18-17_0000001_00003200,USV,2026-01-24T19:13:16.873310,-15.0
2024-09-30_11-18-17_0000001_00003440,USV,2026-01-24T19:13:17.673533,0.0
2024-09-30_11-18-17_0000001_00003548,USV,2026-01-24T19:13:18.348726,0.0
2024-09-30_11-18-17_0000001_00003662,USV,2026-01-24T19:13:30.276978,-10.0
2024-09-30_11-18-17_0000001_00003799,USV,2026-01-24T19:13:31.155849,0.0
2024-09-30_11-18-17_0000001_00004192,USV,2026-01-24T19:13:33.827769,0.0
2024-09-30_11-18-17_0000001_00004305,USV,2026-01-24T19:13:34.512400,0.0
2024-09-30_11-18-17_0000001_00004535,USV,2026-01-24T19:13:35.422303,0.0
2024-09-30_11-18-17_0000001_00004648,USV,2026-01-24T19:13:36.151303,0.0
2024-09-30_11-18-17_0000001_00004777,USV,2026-01-24T19:13:36.960691,0.0
2024-09-30_11-18-17_0000001_00004893,USV,2026-01-24T19:13:37.585944,0.0
2024-09-30_11-18-17_0000001_00005004,USV,2026-01-24T19:13:38.209399,0.0
2024-09-30_11-18-17_0000001_00005119,USV,2026-01-24T19:13:38.956442,0.0
2024-09-30_11-18-17_0000001_00005332,USV,2026-01-24T19:13:39.628252,0.0
2024-09-30_11-18-17_0000001_00005439,USV,2026-01-24T19:13:40.238380,0.0
2024-09-30_11-18-17_0000001_00005662,USV,2026-01-24T19:13:40.870810,0.0
2024-09-30_11-18-17_0000001_00005792,USV,2026-01-24T19:13:41.466698,0.0
2024-09-30_11-18-17_0000001_00006688,USV,2026-01-24T19:13:42.188692,0.0
2024-09-30_11-18-17_0000001_00006868,USV,2026-01-24T19:13:42.876639,0.0
2024-09-30_11-18-17_0000001_00007117,USV,2026-01-24T19:13:45.034310,0.0
2024-09-30_11-18-25_0000002_00001038,Not USV,2026-01-24T19:13:46.395445,0.0
2024-09-30_11-18-25_0000002_00001103,Not USV,2026-01-24T19:13:47.281939,0.0
2024-09-30_11-18-27_0000003_00001816,USV,2026-01-24T19:13:48.216224,0.0
2024-09-30_11-18-27_0000003_00001918,USV,2026-01-24T19:13:48.856792,0.0
2024-09-30_11-18-27_0000003_00002505,USV,2026-01-24T19:13:49.763415,0.0
2024-09-30_11-18-27_0000003_00002874,USV,2026-01-24T19:13:50.848319,0.0
2024-09-30_11-18-27_0000003_00003431,USV,2026-01-24T19:13:51.648643,0.0
2024-09-30_11-18-27_0000003_00003588,USV,2026-01-24T19:13:52.797813,0.0
2024-09-30_11-18-27_0000003_00003761,USV,2026-01-24T19:13:53.638710,0.0
2024-09-30_11-18-27_0000003_00003852,USV,2026-01-24T19:13:54.362152,0.0
2024-09-30_11-18-27_0000003_00003959,USV,2026-01-24T19:13:55.139798,0.0
2024-09-30_11-18-27_0000003_00004091,USV,2026-01-24T19:13:55.808670,0.0
2024-09-30_11-18-27_0000003_00004177,USV,2026-01-24T19:13:56.854422,0.0
2024-09-30_11-18-27_0000003_00004259,Not USV,2026-01-24T19:13:58.394565,0.0
2024-09-30_11-18-27_0000003_00004401,Not USV,2026-01-24T19:13:59.333749,0.0
2024-09-30_11-18-27_0000003_00004450,Not USV,2026-01-24T19:14:05.777032,0.0
2024-09-30_11-18-27_0000003_00004787,Not USV,2026-01-24T19:14:06.863607,0.0
2024-09-30_11-18-27_0000003_00004962,Not USV,2026-01-24T19:14:07.516101,0.0
2024-09-30_11-18-27_0000003_00005026,Not USV,2026-01-24T19:14:08.328676,0.0
2024-09-30_11-18-27_0000003_00005078,USV,2026-01-24T19:14:09.094975,0.0
2024-09-30_11-18-27_0000003_00005136,Not USV,2026-01-24T19:14:10.326661,0.0
2024-09-30_11-18-27_0000003_00005310,USV,2026-01-24T19:14:11.618976,0.0
2024-09-30_11-18-27_0000003_00005424,USV,2026-01-24T19:14:12.354791,0.0
2024-09-30_11-18-34_0000004_00000165,USV,2026-01-24T19:14:21.020864,15.0
2024-09-30_11-18-34_0000004_00000840,USV,2026-01-24T19:14:32.269670,-15.0
2024-09-30_11-18-34_0000004_00001037,USV,2026-01-24T19:14:33.521650,0.0
2024-09-30_11-18-34_0000004_00001432,USV,2026-01-24T19:14:34.239556,0.0
2024-09-30_11-18-34_0000004_00001546,USV,2026-01-24T19:14:35.022524,0.0
2024-09-30_11-18-34_0000004_00001746,USV,2026-01-24T19:14:35.757303,0.0
2024-09-30_11-18-34_0000004_00001850,USV,2026-01-24T19:14:44.189868,5.0
2024-09-30_11-18-34_0000004_00001967,USV,2026-01-24T19:14:54.770459,-15.0
2024-09-30_11-18-34_0000004_00002079,USV,2026-01-24T19:15:00.903194,15.0
2024-09-30_11-18-34_0000004_00002632,USV,2026-01-24T19:15:10.703728,-5.0
2024-09-30_11-18-34_0000004_00002724,USV,2026-01-24T19:15:12.843750,0.0
2024-09-30_11-18-34_0000004_00002827,USV,2026-01-24T19:15:13.548409,0.0
2024-09-30_11-18-34_0000004_00002929,USV,2026-01-24T19:15:14.296589,0.0
2024-09-30_11-18-34_0000004_00003019,USV,2026-01-24T19:15:14.988183,0.0
2024-09-30_11-18-34_0000004_00003119,USV,2026-01-24T19:15:15.707129,0.0
2024-09-30_11-18-34_0000004_00003222,USV,2026-01-24T19:15:16.418160,0.0
2024-09-30_11-18-34_0000004_00003942,USV,2026-01-24T19:15:17.162127,0.0
2024-09-30_11-18-34_0000004_00003987,Not USV,2026-01-24T19:15:18.431248,0.0
2024-09-30_11-18-34_0000004_00004481,USV,2026-01-24T19:15:19.531829,0.0
2024-09-30_11-18-34_0000004_00004925,USV,2026-01-24T19:15:29.550597,-20.0
2024-09-30_11-18-34_0000004_00005154,USV,2026-01-24T19:15:36.897477,-20.0
2024-09-30_11-18-34_0000004_00005179,USV,2026-01-24T19:15:44.608515,20.0
2024-09-30_11-18-34_0000004_00005278,USV,2026-01-24T19:15:47.657801,0.0
2024-09-30_11-18-34_0000004_00005398,USV,2026-01-24T19:15:48.491565,0.0
2024-09-30_11-18-34_0000004_00005529,USV,2026-01-24T19:15:49.480610,0.0
2024-09-30_11-18-34_0000004_00005614,USV,2026-01-24T19:15:50.460135,0.0
2024-09-30_11-18-34_0000004_00005707,USV,2026-01-24T19:15:51.584591,0.0
2024-09-30_11-18-34_0000004_00005935,USV,2026-01-24T19:15:52.501369,0.0
2024-09-30_11-18-34_0000004_00006043,USV,2026-01-24T19:15:53.222051,0.0
2024-09-30_11-18-34_0000004_00006128,USV,2026-01-24T19:15:53.909274,0.0
2024-09-30_11-18-34_0000004_00006231,USV,2026-01-24T19:15:54.548403,0.0
2024-09-30_11-18-34_0000004_00006324,USV,2026-01-24T19:15:55.194887,0.0
2024-09-30_11-18-34_0000004_00006503,USV,2026-01-24T19:15:55.904168,0.0
2024-09-30_11-18-34_0000004_00006599,USV,2026-01-24T19:15:56.654881,0.0
2024-09-30_11-18-34_0000004_00007085,USV,2026-01-24T19:15:57.819974,0.0
2024-09-30_11-18-34_0000004_00007466,USV,2026-01-24T19:15:59.457823,0.0
2024-09-30_11-18-34_0000004_00007589,USV,2026-01-24T19:16:00.590562,0.0
2024-09-30_11-18-34_0000004_00007734,USV,2026-01-24T19:16:01.295757,0.0
2024-09-30_11-18-34_0000004_00007937,USV,2026-01-24T19:16:01.955370,0.0
2024-09-30_11-18-34_0000004_00008151,USV,2026-01-24T19:16:02.746467,0.0
2024-09-30_11-18-34_0000004_00008259,USV,2026-01-24T19:16:03.410393,0.0
2024-09-30_11-18-34_0000004_00008983,USV,2026-01-24T19:16:04.318102,0.0
2024-09-30_11-18-34_0000004_00009211,USV,2026-01-24T19:16:05.043894,0.0
2024-09-30_11-18-52_0000005_00001079,USV,2026-01-24T19:16:13.255567,10.0
2024-09-30_11-18-52_0000005_00001207,USV,2026-01-24T19:16:21.866176,10.0
2024-09-30_11-18-52_0000005_00001335,USV,2026-01-24T19:16:40.910440,10.0
2024-09-30_11-18-52_0000005_00002123,USV,2026-01-24T19:16:42.352250,0.0
2024-09-30_11-18-52_0000005_00002263,USV,2026-01-24T19:16:43.400183,0.0
2024-09-30_11-18-52_0000005_00002774,USV,2026-01-24T19:16:44.604190,0.0
2024-09-30_11-18-52_0000005_00002929,USV,2026-01-24T19:16:46.481756,0.0
2024-09-30_11-18-52_0000005_00003042,USV,2026-01-24T19:16:47.923132,0.0
2024-09-30_11-18-52_0000005_00003110,USV,2026-01-24T19:16:49.920859,0.0
2024-09-30_11-18-52_0000005_00003145,USV,2026-01-24T19:16:50.882029,0.0
2024-09-30_11-18-52_0000005_00003255,USV,2026-01-24T19:16:51.644470,0.0
2024-09-30_11-18-52_0000005_00003280,USV,2026-01-24T19:16:52.345251,0.0
2024-09-30_11-18-52_0000005_00003379,USV,2026-01-24T19:16:53.092355,0.0
2024-09-30_11-18-52_0000005_00003487,USV,2026-01-24T19:16:53.963703,0.0
2024-09-30_11-18-52_0000005_00003694,USV,2026-01-24T19:16:54.622580,0.0
2024-09-30_11-18-52_0000005_00003789,USV,2026-01-24T19:16:56.377254,0.0
2024-09-30_11-18-52_0000005_00003810,USV,2026-01-24T19:16:57.347923,0.0
2024-09-30_11-18-52_0000005_00003898,USV,2026-01-24T19:16:58.179118,0.0
2024-09-30_11-18-52_0000005_00004028,Not USV,2026-01-24T19:17:01.928018,0.0
2024-09-30_11-18-52_0000005_00004126,USV,2026-01-24T19:17:03.121382,0.0
2024-09-30_11-18-52_0000005_00004256,USV,2026-01-24T19:17:03.962361,0.0
2024-09-30_11-18-52_0000005_00004580,USV,2026-01-24T19:17:14.702747,-10.0
