threshold_s,file_aware,n_bouts,n_multi_call_bouts,n_within_bout_pairs,n_cross_bout_pairs,mi_lag1_bits,mi_ci_low_bits,mi_ci_high_bits,marginal_entropy_bits,conditional_entropy_bits,mean_bout_duration_s,mean_calls_per_bout
0.1,True,3224,1503,4640,3223,0.083369,0.071291,0.108795,2.548095,2.374639,0.2998,2.4392
0.143,True,2308,1464,5556,2307,0.097786,0.084429,0.122412,2.548095,2.423415,0.4647,3.4073
0.2,True,2034,1392,5830,2033,0.093305,0.079938,0.117697,2.548095,2.43487,0.5503,3.8663
0.25,True,1899,1359,5965,1898,0.093544,0.082031,0.116509,2.548095,2.438286,0.6052,4.1411
0.4,True,1729,1324,6135,1728,0.09174,0.080224,0.113387,2.548095,2.444411,0.6957,4.5483
0.6,True,1581,1251,6283,1580,0.091177,0.079011,0.114146,2.548095,2.446658,0.8075,4.9741
0.8,True,1487,1202,6377,1486,0.090992,0.078204,0.113066,2.548095,2.450157,0.9023,5.2885
1.0,True,1432,1174,6432,1431,0.090685,0.077866,0.113851,2.548095,2.451023,0.9716,5.4916
2.0,True,1384,1147,6480,1383,0.088994,0.076701,0.111172,2.548095,2.453865,1.0502,5.6821
inf,True,1378,1143,6486,1377,0.089263,0.076181,0.111833,2.548095,2.452913,1.0674,5.7068
