wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
131204_1400_m3fm3_chunk_243,0,0.060587,0.209920,149.33,0.999997,0.943215,,2026-05-11T13:13:23.150012
131204_1400_m3fm3_chunk_243,1,0.222720,0.333653,110.93,1.000000,0.930946,,2026-05-11T13:13:23.408030
131204_1400_m3fm3_chunk_243,2,0.350720,0.431787,81.07,0.999914,0.940265,,2026-05-11T13:13:23.727842
131204_1400_m3fm3_chunk_243,3,0.453120,0.500053,46.93,0.925518,0.850977,,2026-05-11T13:13:24.177536
131204_1400_m3fm3_chunk_243,4,0.581120,0.679253,98.13,0.967263,0.794346,,2026-05-11T13:13:24.470209
131204_1400_m3fm3_chunk_243,5,0.717653,0.781653,64.00,0.992509,0.893276,,2026-05-11T13:13:24.789696
131204_1400_m3fm3_chunk_243,6,0.820053,0.875520,55.47,0.985644,0.905344,,2026-05-11T13:13:25.048856
131204_1400_m3fm3_chunk_243,7,0.918187,0.994987,76.80,0.997942,0.899766,,2026-05-11T13:13:25.349645
131204_1400_m3fm3_chunk_243,8,1.016320,1.076053,59.73,0.987779,0.912938,,2026-05-11T13:13:25.651101
131204_1400_m3fm3_chunk_243,9,1.122987,1.165653,42.67,0.927095,0.873134,,2026-05-11T13:13:25.991905
131204_1400_m3fm3_chunk_243,10,1.212587,1.285120,72.53,0.993094,0.902231,,2026-05-11T13:13:26.209392
131204_1400_m3fm3_chunk_243,11,1.297920,1.378987,81.07,0.999512,0.941296,,2026-05-11T13:13:26.435226
131204_1400_m3fm3_chunk_243,12,1.400320,1.562453,162.13,0.999805,0.968125,,2026-05-11T13:13:26.711594
131204_1400_m3fm3_chunk_243,13,1.583787,1.669120,85.33,0.998725,0.959052,,2026-05-11T13:13:26.933944
131204_1400_m3fm3_chunk_243,14,1.686187,1.758720,72.53,0.996336,0.925308,,2026-05-11T13:13:27.155332
131204_1400_m3fm3_chunk_243,15,1.780053,1.848320,68.27,0.997407,0.943227,,2026-05-11T13:13:27.471315
131204_1400_m3fm3_chunk_243,16,1.878187,1.920853,42.67,0.958078,0.913061,,2026-05-11T13:13:27.700207
