ngram,ngram_codes,n,observed,expected,z_score,p_value
Up → Up → Up → Up,"(6, 6, 6, 6)",4,3,0.0,30.05,0.0
Flat → Up → Short → Frequency_Jump,"(0, 6, 3, 5)",4,1,0.0,14.11,0.0
Flat → Flat → Down → Chevron → Chevron,"(0, 0, 1, 2, 2)",5,1,0.0,14.11,0.0
Short → Flat → Flat → Down → Chevron,"(3, 0, 0, 1, 2)",5,1,0.0,14.11,0.0
Complex → Complex → Down → Complex,"(4, 4, 1, 4)",4,1,0.0,14.11,0.0
Flat → Down → Up → Up → Flat,"(0, 1, 6, 6, 0)",5,1,0.0,14.11,0.0
Up → Up → Short → Up → Chevron,"(6, 6, 3, 6, 2)",5,1,0.0,14.11,0.0
Down → Flat → Up → Short → Flat,"(1, 0, 6, 3, 0)",5,1,0.0,14.11,0.0
Short → Flat → Down → Short → Up,"(3, 0, 1, 3, 6)",5,1,0.0,14.11,0.0
Up → Chevron → Flat → Flat → Up,"(6, 2, 0, 0, 6)",5,1,0.0,14.11,0.0
Short → Up → Up → Up → Up,"(3, 6, 6, 6, 6)",5,1,0.0,14.11,0.0
Flat → Down → Short → Up → Short,"(0, 1, 3, 6, 3)",5,1,0.0,14.11,0.0
Up → Up → Up → Short → Flat,"(6, 6, 6, 3, 0)",5,1,0.0,14.11,0.0
Short → Short → Short → Short → Short,"(3, 3, 3, 3, 3)",5,8,0.3,13.46,0.0
Down → Up → Up → Flat,"(1, 6, 6, 0)",4,1,0.0,9.95,0.0
Down → Complex → Complex → Short,"(1, 4, 4, 3)",4,1,0.0,9.95,0.0
Flat → Flat → Down → Chevron,"(0, 0, 1, 2)",4,1,0.0,9.95,0.0
Up → Up → Up → Up → Short,"(6, 6, 6, 6, 3)",5,1,0.0,9.95,0.0
Up → Up → Up → Short → Up,"(6, 6, 6, 3, 6)",5,1,0.0,9.95,0.0
Chevron → Short → Flat → Flat → Down,"(2, 3, 0, 0, 1)",5,1,0.0,9.95,0.0
Flat → Flat → Up → Flat → Short,"(0, 0, 6, 0, 3)",5,1,0.0,9.95,0.0
Up → Short → Up → Chevron → Up,"(6, 3, 6, 2, 6)",5,1,0.0,9.95,0.0
Chevron → Flat → Flat → Up → Flat,"(2, 0, 0, 6, 0)",5,1,0.0,9.95,0.0
