wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,timestamp
2024-09-30_11-18-34_0000004,2,0.837120,0.894683,57.56,0.072738,0.053244,2026-02-07T10:46:41.399723
2024-09-30_11-18-34_0000004,0,0.141653,0.201387,59.73,0.065415,0.046408,2026-02-07T12:59:29.496824
2024-09-30_11-18-34_0000004,1,0.645120,0.695011,49.89,0.052562,0.044938,2026-02-07T12:59:29.972347
2024-09-30_11-18-34_0000004,3,1.016705,1.063253,46.55,0.074693,0.061196,2026-02-07T12:59:30.401131
2024-09-30_11-18-34_0000004,4,1.131520,1.178453,46.93,0.063856,0.047550,2026-02-07T12:59:30.830360
2024-09-30_11-18-34_0000004,5,1.259520,1.306453,46.93,0.064074,0.047676,2026-02-07T12:59:31.273828
2024-09-30_11-18-34_0000004,6,1.430981,1.481387,50.41,0.105653,0.069714,2026-02-07T12:59:31.761851
2024-09-30_11-18-34_0000004,7,1.532587,1.600853,68.27,0.155966,0.097665,2026-02-07T12:59:32.200878
2024-09-30_11-18-34_0000004,8,1.652053,1.686187,34.13,0.066229,0.051741,2026-02-07T12:59:32.590970
2024-09-30_11-18-34_0000004,9,1.737387,1.780053,42.67,0.079743,0.055988,2026-02-07T12:59:32.998793
2024-09-30_11-18-34_0000004,10,1.835520,1.916587,81.07,0.181739,0.102578,2026-02-07T12:59:33.398711
2024-09-30_11-18-34_0000004,11,1.958746,2.006187,47.44,0.048814,0.042283,2026-02-07T12:59:33.813635
2024-09-30_11-18-34_0000004,12,2.065920,2.108587,42.67,0.147223,0.089303,2026-02-07T12:59:34.220283
2024-09-30_11-18-34_0000004,13,2.624853,2.760847,135.99,0.058403,0.049242,2026-02-07T12:59:34.678077
2024-09-30_11-18-34_0000004,14,2.812587,2.863787,51.20,0.078458,0.055253,2026-02-07T12:59:35.074453
2024-09-30_11-18-34_0000004,15,2.924680,2.957653,32.97,0.059407,0.048360,2026-02-07T12:59:35.474147
2024-09-30_11-18-34_0000004,16,3.017263,3.055787,38.52,0.089130,0.061070,2026-02-07T12:59:35.881253
2024-09-30_11-18-34_0000004,17,3.111253,3.153920,42.67,0.135758,0.089119,2026-02-07T12:59:36.410703
2024-09-30_11-18-34_0000004,18,3.222481,3.351329,128.85,0.050881,0.045038,2026-02-07T12:59:36.816431
2024-09-30_11-18-34_0000004,19,3.644587,3.645587,1.00,0.049983,0.042391,2026-02-07T12:59:37.228278
2024-09-30_11-18-34_0000004,20,3.930453,3.980210,49.76,0.123421,0.079427,2026-02-07T12:59:37.658081
2024-09-30_11-18-34_0000004,21,4.472320,4.536320,64.00,0.194894,0.115344,2026-02-07T12:59:38.060490
2024-09-30_11-18-34_0000004,22,4.600320,4.655787,55.47,0.101029,0.066262,2026-02-07T12:59:38.450909
2024-09-30_11-18-34_0000004,23,4.916053,4.960223,44.17,0.051992,0.041750,2026-02-07T12:59:38.863272
2024-09-30_11-18-34_0000004,24,5.030620,5.073712,43.09,0.051613,0.044050,2026-02-07T12:59:39.243716
2024-09-30_11-18-34_0000004,25,5.152642,5.206187,53.54,0.098020,0.070414,2026-02-07T12:59:39.639776
2024-09-30_11-18-34_0000004,26,5.270187,5.334187,64.00,0.095991,0.061674,2026-02-07T12:59:40.051554
2024-09-30_11-18-34_0000004,27,5.398187,5.440853,42.67,0.080209,0.053813,2026-02-07T12:59:40.479848
2024-09-30_11-18-34_0000004,28,5.499508,5.556053,56.55,0.062111,0.047384,2026-02-07T12:59:40.844399
2024-09-30_11-18-34_0000004,29,5.609583,5.671253,61.67,0.060060,0.042439,2026-02-07T12:59:41.256302
2024-09-30_11-18-34_0000004,30,6.029653,6.072320,42.67,0.108677,0.072970,2026-02-07T12:59:41.794958
2024-09-30_11-18-34_0000004,31,6.130522,6.170453,39.93,0.055481,0.049856,2026-02-07T12:59:42.206812
2024-09-30_11-18-34_0000004,32,6.221653,6.255787,34.13,0.059441,0.045031,2026-02-07T12:59:42.618660
2024-09-30_11-18-34_0000004,33,6.318674,6.366720,48.05,0.075916,0.054158,2026-02-07T12:59:43.062316
2024-09-30_11-18-34_0000004,34,6.602822,6.639514,36.69,0.044323,0.039243,2026-02-07T12:59:43.458715
2024-09-30_11-18-34_0000004,35,7.079253,7.109255,30.00,0.080973,0.061289,2026-02-07T12:59:43.870762
2024-09-30_11-18-34_0000004,36,7.450453,7.518720,68.27,0.152501,0.095854,2026-02-07T12:59:44.298431
2024-09-30_11-18-34_0000004,37,7.574187,7.642453,68.27,0.138670,0.080082,2026-02-07T12:59:44.678406
2024-09-30_11-18-34_0000004,38,7.732053,7.770134,38.08,0.090488,0.064429,2026-02-07T12:59:45.122244
2024-09-30_11-18-34_0000004,39,8.150187,8.192853,42.67,0.119636,0.064715,2026-02-07T12:59:45.518083
2024-09-30_11-18-34_0000004,40,8.252587,8.295253,42.67,0.161529,0.092457,2026-02-07T12:59:45.930106
2024-09-30_11-18-34_0000004,41,8.979258,9.044535,65.28,0.114836,0.074140,2026-02-07T12:59:46.325854
2024-09-30_11-18-34_0000004,42,9.207515,9.285165,77.65,0.045449,0.040240,2026-02-07T12:59:46.864602
