candidate_id,spectrogram_path,label,source_file,sample_type
neg_random_00000,neg_random_00000.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00001,neg_random_00001.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00002,neg_random_00002.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00003,neg_random_00003.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00004,neg_random_00004.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00005,neg_random_00005.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00006,neg_random_00006.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00007,neg_random_00007.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00008,neg_random_00008.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00009,neg_random_00009.png,Not USV,2024-09-30_11-18-17_0000001.wav,random
neg_random_00010,neg_random_00010.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00011,neg_random_00011.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00012,neg_random_00012.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00013,neg_random_00013.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00014,neg_random_00014.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00015,neg_random_00015.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00016,neg_random_00016.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00017,neg_random_00017.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00018,neg_random_00018.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00019,neg_random_00019.png,Not USV,2024-09-30_11-18-25_0000002.wav,random
neg_random_00020,neg_random_00020.png,Not USV,2024-09-30_11-18-27_0000003.wav,random
neg_random_00021,neg_random_00021.png,Not USV,2024-09-30_11-18-27_0000003.wav,random
neg_random_00022,neg_random_00022.png,Not USV,2024-09-30_11-18-27_0000003.wav,random
